Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,24,11,00,00,404.5451
2013,01,24,12,00,00,404.7929
2013,01,24,13,00,00,404.9521
2013,01,24,14,00,00,404.8473
2013,01,24,15,00,00,404.82456
2013,01,24,16,00,00,404.8336
2013,01,24,17,00,00,404.83589
2013,01,24,18,00,00,404.85344
2013,01,24,19,00,00,404.8576
2013,01,24,20,00,00,404.9192
2013,01,24,21,00,00,405.0909
2013,01,24,22,00,00,405.1407
2013,01,24,23,00,00,404.9128
2013,01,25,00,00,00,404.7757
2013,01,25,01,00,00,404.7041
2013,01,25,02,00,00,404.717
2013,01,25,03,00,00,404.7804
2013,01,25,04,00,00,404.8898
2013,01,25,05,00,00,404.73756
2013,01,25,06,00,00,404.8409
2013,01,25,07,00,00,404.9171
2013,01,25,08,00,00,404.8797
2013,01,25,09,00,00,405.6439
2013,01,25,10,00,00,406.2858
2013,01,25,11,00,00,406.1059
2013,01,25,12,00,00,405.3049
2013,01,25,13,00,00,405.0014
2013,01,25,14,00,00,405.0952
2013,01,25,15,00,00,404.8356
2013,01,25,16,00,00,404.4578
2013,01,25,17,00,00,404.144
2013,01,25,18,00,00,404.095
2013,01,25,19,00,00,404.184
2013,01,25,20,00,00,404.3894
2013,01,25,21,00,00,404.4641
2013,01,25,22,00,00,404.0046
2013,01,25,23,00,00,403.9237
2013,01,26,00,00,00,404.0559
2013,01,26,01,00,00,403.9126
2013,01,26,02,00,00,404.129
2013,01,26,03,00,00,404.4211
2013,01,26,04,00,00,404.6906
2013,01,26,05,00,00,404.5907
2013,01,26,06,00,00,404.2403
2013,01,26,07,00,00,404.2215
2013,01,26,08,00,00,404.3001
2013,01,26,09,00,00,404.54144
2013,01,26,10,00,00,405.116
2013,01,26,11,00,00,405.4573
2013,01,26,12,00,00,405.3248
2013,01,26,13,00,00,405.0877
2013,01,26,14,00,00,405.4126
2013,01,26,15,00,00,405.8362
2013,01,26,16,00,00,405.7114
2013,01,26,17,00,00,405.4269
2013,01,26,18,00,00,405.543
2013,01,26,19,00,00,404.9252
2013,01,26,20,00,00,404.176
2013,01,26,21,00,00,403.7631
2013,01,26,22,00,00,403.6908
2013,01,26,23,00,00,403.75056
2013,01,27,00,00,00,403.936
2013,01,27,01,00,00,404.0466
2013,01,27,02,00,00,404.2229
2013,01,27,03,00,00,404.1738
2013,01,27,04,00,00,404.2587
2013,01,27,05,00,00,403.8796
2013,01,27,06,00,00,403.6724
2013,01,27,07,00,00,403.8445
2013,01,27,08,00,00,404.1464
2013,01,27,09,00,00,404.799
2013,01,27,10,00,00,404.9808
2013,01,27,11,00,00,404.8377
2013,01,27,12,00,00,405.556
2013,01,27,13,00,00,406.12778
2013,01,27,14,00,00,406.0752
2013,01,27,15,00,00,405.9465
2013,01,27,16,00,00,406.03
2013,01,27,17,00,00,406.1328
2013,01,27,18,00,00,406.1808
2013,01,27,19,00,00,406.156
2013,01,27,20,00,00,405.9862
2013,01,27,21,00,00,405.9646
2013,01,27,22,00,00,406.4541
2013,01,27,23,00,00,407.9361
2013,01,28,00,00,00,409.3109
2013,01,28,01,00,00,409.7606
2013,01,28,02,00,00,409.5337
2013,01,28,03,00,00,409.29589
2013,01,28,04,00,00,409.1486
2013,01,28,05,00,00,408.9916
2013,01,28,06,00,00,409.0737
2013,01,28,07,00,00,409.254
2013,01,28,08,00,00,409.1308
2013,01,28,09,00,00,409.4503
2013,01,28,10,00,00,410.03
2013,01,28,11,00,00,410.4678
2013,01,28,12,00,00,410.7816
2013,01,28,13,00,00,411.39871
2013,01,28,14,00,00,412.55689
2013,01,28,15,00,00,413.6317
2013,01,28,16,00,00,414.4922
2013,01,28,17,00,00,414.8512
2013,01,28,18,00,00,414.7865
2013,01,28,19,00,00,414.7497
